"Plexus_Customer_No","Customer_No","Customer_Code","Customer_Name",
"63205","314373","3-Dimensional","3-Dimensional Services/Urgent",
"63205","334645","Accurite","Accu-Rite Industries, LLC.",
"63205","341302","Amvian","Amvian",
"63205","331916","Camaco","Camaco Lorain Manufacturing",
"63205","139573","Caparo","Caparo Vehicle Components",
"63205","152267","Carroll","Carroll Tool & Die Co.",
"63205","143196","Clingan","Clingan Steel",
"63205","767700","CMI","Combined Metal Industries, Inc.",
"63205","233738","Denso","Denso International America, Inc.",
"63205","152270","Digital","Digital Tool & Die, Inc.",
"63205","340362","E&E Manufacturing","E&E Manufacturing Co., Inc.",
"63205","340917","FBT","Fine Blanking & Tool Co., LTD",
"63205","341539","FCA - Fiat Chrysler","Fiat Chrysler Automobiles US LLC",
"63205","173566","FD Corporate","Fisher & Company",
"63205","320088","FD Evansville","Fisher Dynamics Evansville",
"63205","139576","FD Mexico","Fisher Dynamics Mexico",
"63205","146141","FD Poland","Fisher Dynamics Poland",
"63205","134595","FD SCS","Fisher Dynamics St Clair Shores",
"63205","303875","FD Troy","Fisher Dynamics Troy",
"63205","134609","Fisher SCS","Fisher Dynamics SCS",
"63205","341538","Ford","Ford Motor Company",
"63205","314083","General Mill","General Mill Supply Company",
"63205","145560","Global","Global Steel Corporation",
"63205","228874","GM - General Motors","General Motors LLC",
"63205","134672","GM Powertrain","GM Powertrain",
"63205","152950","GM Service","General Motors Corporation",
"63205","263361","GPC, Inc.","Green Processing Company, Inc.",
"63205","146242","Hollingsworth","Hollingsworth Distribution Systems",
"63205","301473","Hydro-Cam","Hydro-Cam Engineering",
"63205","232042","Impel","Impel Industries, Inc.",
"63205","152269","ITS","Internatinal Tooling Solutions",
"63205","342689","JNM Kentucky","JNM Kentucky, LLC",
"63205","290472","Lear MX","Lear Mexican Seating Corporation",
"63205","335198","Lear NA","Lear Corporation North America",
"63205","176029","M.D. Metals","M.D. Metals, Inc.",
"63205","152246","Macimex","Macimex",
"63205","340371","Majestic Industries","Majestic Industries, Inc.",
"63205","281629","Major Metals","Major Metals Corporation",
"63205","334204","Misc","Miscellaneous",
"63205","183973","Navistar (For Quote Purposes Only)","Navistar Engine Group - Lisle",
"63205","139574","Omnisource","Omnisource Corporation",
"63205","341904","Orion Metals","Orion Metals Co.",
"63205","139876","PM","Plante Moran",
"63205","139575","Radar","Radar Industries",
"63205","159034","Rapid Metals","Rapid Metals",
"63205","341323","Rivore","Rivore",
"63205","145506","SCAT","SCAT Enterprises, Inc.",
"63205","307362","Schaller","Schaller Corporation",
"63205","142819","SMI","SMI Crankshaft LLC. / Nippon Steel & Sumikin Crankshaft LLC.",
"63205","770101","Surplus Metals","Surplus Metals Corp",
"63205","183974","WABCO (For Quote Purposes Only)","WABCO Compressor Manufacturing Company",
"63205","339287","Wellington","Wellington Industries",
"63205","152268","Wetzel","Wetzel Tool & Engineering",
"63205","314374","Wico","Wico Metal Products- Central",
"63205","767734","Windy City","Windy City Metals",
"63205","311343","WMT","Windsor  Metals Technology",
"95506","172277","ABC Group","Undercar Products Group, Inc.",
"95506","313114","Adam Opel","Opel Automobile GmbH",
"95506","139578","Adient Bridgewater","Bridgewater Interiors",
"95506","140354","Adient Germany","Adient GmbH",
"95506","139748","Adient MIG","Adient US LLC",
"95506","139566","Adient MX","Adient Mexico",
